Mod:Item:MetaData, Localized Name
chisel:bookshelf_acacia:5, Acacia Bookshelf
chisel:bookshelf_acacia:6, Acacia Bookshelf
chisel:bookshelf_acacia:7, Acacia Bookshelf
chisel:bookshelf_acacia:8, Acacia Bookshelf
chisel:bookshelf_acacia:9, Acacia Bookshelf
chisel:bookshelf_darkoak:0, Dark Oak Bookshelf
chisel:bookshelf_darkoak:1, Dark Oak Bookshelf
chisel:bookshelf_darkoak:2, Dark Oak Bookshelf
chisel:bookshelf_darkoak:3, Dark Oak Bookshelf
chisel:bookshelf_darkoak:4, Dark Oak Bookshelf
chisel:bookshelf_darkoak:5, Dark Oak Bookshelf
chisel:bookshelf_darkoak:6, Dark Oak Bookshelf
chisel:bookshelf_darkoak:7, Dark Oak Bookshelf
chisel:bookshelf_darkoak:8, Dark Oak Bookshelf
chisel:bookshelf_darkoak:9, Dark Oak Bookshelf
chisel:bricks:0, Bricks
chisel:bricks:1, Bricks
chisel:bricks:2, Bricks
chisel:bricks:3, Bricks
chisel:bricks:4, Bricks
chisel:bricks:5, Bricks
chisel:bricks:6, Bricks
chisel:bricks:7, Bricks
chisel:bricks:8, Bricks
chisel:bricks:9, Bricks
chisel:bricks:10, Bricks
chisel:bricks:11, Bricks
chisel:bricks:12, Bricks
chisel:bricks:13, Bricks
chisel:bricks:14, Bricks
chisel:bricks:15, Bricks
chisel:bricks1:0, Bricks
chisel:bricks1:1, Bricks
chisel:bricks1:2, Bricks
chisel:bricks1:3, Bricks
chisel:bricks1:4, Bricks
chisel:bricks1:5, Bricks
chisel:bricks1:6, Bricks
chisel:bricks1:7, Bricks
chisel:bricks1:8, Bricks
chisel:bricks1:9, Bricks
chisel:bricks2:0, Bricks
chisel:bricks2:1, Bricks
chisel:bricks2:2, Bricks
chisel:bricks2:3, Bricks
chisel:bricks2:4, Bricks
chisel:bricks2:5, Bricks
chisel:blockbronze:0, Block of Bronze
chisel:blockbronze:1, Block of Bronze
chisel:blockbronze:2, Block of Bronze
chisel:blockbronze:3, Block of Bronze
chisel:blockbronze:4, Block of Bronze
chisel:blockbronze:5, Block of Bronze
chisel:blockbronze:6, Block of Bronze
chisel:brownstone:0, Brownstone
chisel:brownstone:1, Brownstone
chisel:brownstone:2, Brownstone
chisel:brownstone:3, Brownstone
chisel:brownstone:4, Brownstone
chisel:brownstone:5, Brownstone
chisel:brownstone:6, Brownstone
chisel:brownstone:7, Brownstone
chisel:brownstone:8, Brownstone
chisel:brownstone:9, Brownstone
chisel:certus:0, Block of Certus Quartz
chisel:certus:1, Block of Certus Quartz
chisel:certus:2, Block of Certus Quartz
chisel:certus:3, Block of Certus Quartz
chisel:certus:4, Block of Certus Quartz
chisel:certus:5, Block of Certus Quartz
chisel:certus:6, Block of Certus Quartz
chisel:certus:7, Block of Certus Quartz
chisel:certus:8, Block of Certus Quartz
chisel:certus:9, Block of Certus Quartz
chisel:certus:10, Block of Certus Quartz
chisel:certus:11, Block of Certus Quartz
chisel:certus:12, Block of Certus Quartz
chisel:certus:13, Block of Certus Quartz
chisel:certus:14, Block of Certus Quartz
chisel:certus:15, Block of Certus Quartz
chisel:certus1:0, Block of Certus Quartz
chisel:certus1:1, Block of Certus Quartz
chisel:certus1:2, Block of Certus Quartz
chisel:certus1:3, Block of Certus Quartz
chisel:certus1:4, Block of Certus Quartz
chisel:certus1:5, Block of Certus Quartz
chisel:certus1:6, Block of Certus Quartz
chisel:certus1:7, Block of Certus Quartz
chisel:certus1:8, Block of Certus Quartz
chisel:certus1:9, Block of Certus Quartz
chisel:certus1:10, Block of Certus Quartz
chisel:certus1:11, Block of Certus Quartz
chisel:certus1:12, Block of Certus Quartz
chisel:certus1:13, Block of Certus Quartz
chisel:certus1:14, Block of Certus Quartz
chisel:certus1:15, Block of Certus Quartz
chisel:certus2:0, Block of Certus Quartz
chisel:certus2:1, Block of Certus Quartz
chisel:carpet_black:0, Black Carpet
chisel:carpet_black:1, Black Carpet
chisel:carpet_red:0, Red Carpet
chisel:carpet_red:1, Red Carpet
chisel:carpet_green:0, Green Carpet
chisel:carpet_green:1, Green Carpet
chisel:carpet_brown:0, Brown Carpet
chisel:carpet_brown:1, Brown Carpet
chisel:carpet_blue:0, Blue Carpet
chisel:carpet_blue:1, Blue Carpet
chisel:carpet_purple:0, Purple Carpet
chisel:carpet_purple:1, Purple Carpet
chisel:carpet_cyan:0, Cyan Carpet
chisel:carpet_cyan:1, Cyan Carpet
chisel:carpet_lightgray:0, Light Gray Carpet
chisel:carpet_lightgray:1, Light Gray Carpet
chisel:carpet_gray:0, Gray Carpet
chisel:carpet_gray:1, Gray Carpet
chisel:carpet_pink:0, Pink Carpet
chisel:carpet_pink:1, Pink Carpet
chisel:carpet_lime:0, Lime Carpet
chisel:carpet_lime:1, Lime Carpet
chisel:carpet_yellow:0, Yellow Carpet
chisel:carpet_yellow:1, Yellow Carpet
chisel:carpet_lightblue:0, Light Blue Carpet
chisel:carpet_lightblue:1, Light Blue Carpet
chisel:carpet_magenta:0, Magenta Carpet
chisel:carpet_magenta:1, Magenta Carpet
chisel:carpet_orange:0, Orange Carpet
chisel:carpet_orange:1, Orange Carpet
chisel:carpet_white:0, White Carpet
chisel:carpet_white:1, White Carpet
chisel:block_charcoal:0, Block of Charcoal
chisel:block_charcoal:1, Block of Charcoal
chisel:block_charcoal:2, Block of Charcoal
chisel:block_charcoal:3, Block of Charcoal
chisel:block_charcoal:4, Block of Charcoal
chisel:block_charcoal:5, Block of Charcoal
chisel:block_charcoal:6, Block of Charcoal
chisel:block_charcoal:7, Block of Charcoal
chisel:block_charcoal:8, Block of Charcoal
chisel:block_charcoal:9, Block of Charcoal
chisel:block_charcoal:10, Block of Charcoal
chisel:block_charcoal:11, Block of Charcoal
chisel:block_charcoal:12, Block of Charcoal
chisel:block_charcoal:13, Block of Charcoal
chisel:block_charcoal:14, Block of Charcoal
chisel:block_charcoal:15, Block of Charcoal
chisel:block_charcoal1:0, Block of Charcoal
chisel:block_charcoal1:1, Block of Charcoal
chisel:block_charcoal1:2, Block of Charcoal
chisel:block_charcoal1:3, Block of Charcoal
chisel:block_charcoal1:4, Block of Charcoal
chisel:block_charcoal1:5, Block of Charcoal
chisel:block_charcoal1:6, Block of Charcoal
chisel:block_charcoal1:7, Block of Charcoal
chisel:block_charcoal1:8, Block of Charcoal
chisel:block_charcoal1:9, Block of Charcoal
chisel:block_charcoal1:10, Block of Charcoal
chisel:block_charcoal1:11, Block of Charcoal
chisel:block_charcoal1:12, Block of Charcoal
chisel:block_charcoal1:13, Block of Charcoal
chisel:block_charcoal1:14, Block of Charcoal
chisel:block_charcoal1:15, Block of Charcoal
chisel:block_charcoal2:0, Block of Charcoal
chisel:block_charcoal2:1, Block of Charcoal
chisel:cloud:0, Cloud
chisel:cloud:1, Cloud
chisel:cloud:2, Cloud
chisel:cloud:3, Cloud
chisel:cloud:4, Cloud
chisel:blockcobalt:0, Block of Cobalt
chisel:blockcobalt:1, Block of Cobalt
chisel:blockcobalt:2, Block of Cobalt
chisel:blockcobalt:3, Block of Cobalt
chisel:blockcobalt:4, Block of Cobalt
chisel:blockcobalt:5, Block of Cobalt
chisel:blockcobalt:6, Block of Cobalt
chisel:cobblestone:0, Cobblestone
chisel:cobblestone:1, Cobblestone
chisel:cobblestone:2, Cobblestone
chisel:cobblestone:3, Cobblestone
chisel:cobblestone:4, Cobblestone
chisel:cobblestone:5, Cobblestone
chisel:cobblestone:6, Cobblestone
chisel:cobblestone:7, Cobblestone
chisel:cobblestone:8, Cobblestone
chisel:cobblestone:9, Cobblestone
chisel:cobblestone:10, Cobblestone
chisel:cobblestone:11, Cobblestone
chisel:cobblestone:12, Cobblestone
chisel:cobblestone:13, Cobblestone
chisel:cobblestone:14, Cobblestone
chisel:cobblestone:15, Cobblestone
chisel:cobblestone1:0, Cobblestone
chisel:cobblestone1:1, Cobblestone
chisel:cobblestone1:2, Cobblestone
chisel:cobblestone1:3, Cobblestone
chisel:cobblestone1:4, Cobblestone
chisel:cobblestone1:5, Cobblestone
chisel:cobblestone1:6, Cobblestone
chisel:cobblestone1:7, Cobblestone
chisel:cobblestone1:8, Cobblestone
chisel:cobblestone1:9, Cobblestone
chisel:cobblestone2:0, Cobblestone
chisel:cobblestone2:1, Cobblestone
chisel:cobblestone2:2, Cobblestone
chisel:cobblestone2:3, Cobblestone
chisel:cobblestone2:4, Cobblestone
chisel:cobblestone2:5, Cobblestone
chisel:cobblestone2:6, Cobblestone
chisel:cobblestone2:7, Cobblestone
chisel:cobblestone2:8, Cobblestone
chisel:cobblestone2:9, Cobblestone
chisel:block_coal:0, Block of Coal
chisel:block_coal:1, Block of Coal
chisel:block_coal:2, Block of Coal
chisel:block_coal:3, Block of Coal
chisel:block_coal:4, Block of Coal
chisel:block_coal:5, Block of Coal
chisel:block_coal:6, Block of Coal
chisel:block_coal:7, Block of Coal
chisel:block_coal:8, Block of Coal
chisel:block_coal:9, Block of Coal
chisel:block_coal:10, Block of Coal
chisel:block_coal:11, Block of Coal
chisel:block_coal:12, Block of Coal
chisel:block_coal:13, Block of Coal
chisel:block_coal:14, Block of Coal
chisel:block_coal:15, Block of Coal
chisel:block_coal1:0, Block of Coal
chisel:block_coal1:1, Block of Coal
chisel:block_coal1:2, Block of Coal
chisel:block_coal1:3, Block of Coal
chisel:block_coal1:4, Block of Coal
chisel:block_coal1:5, Block of Coal
chisel:block_coal1:6, Block of Coal
chisel:block_coal1:7, Block of Coal
chisel:block_coal1:8, Block of Coal
chisel:block_coal1:9, Block of Coal
chisel:block_coal1:10, Block of Coal
chisel:block_coal1:11, Block of Coal
chisel:block_coal1:12, Block of Coal
chisel:block_coal1:13, Block of Coal
chisel:block_coal1:14, Block of Coal
chisel:block_coal1:15, Block of Coal
chisel:block_coal2:0, Block of Coal
chisel:block_coal2:1, Block of Coal
chisel:block_coal_coke:0, Block of Coal Coke
chisel:block_coal_coke:1, Block of Coal Coke
chisel:block_coal_coke:2, Block of Coal Coke
chisel:block_coal_coke:3, Block of Coal Coke
chisel:block_coal_coke:4, Block of Coal Coke
chisel:block_coal_coke:5, Block of Coal Coke
chisel:block_coal_coke:6, Block of Coal Coke
chisel:block_coal_coke:7, Block of Coal Coke
chisel:block_coal_coke:8, Block of Coal Coke
chisel:block_coal_coke:9, Block of Coal Coke
chisel:block_coal_coke:10, Block of Coal Coke
chisel:block_coal_coke:11, Block of Coal Coke
chisel:block_coal_coke:12, Block of Coal Coke
chisel:block_coal_coke:13, Block of Coal Coke
chisel:block_coal_coke:14, Block of Coal Coke
chisel:block_coal_coke:15, Block of Coal Coke
chisel:block_coal_coke1:0, Block of Coal Coke
chisel:block_coal_coke1:1, Block of Coal Coke
chisel:block_coal_coke1:2, Block of Coal Coke
chisel:block_coal_coke1:3, Block of Coal Coke
chisel:block_coal_coke1:4, Block of Coal Coke
chisel:block_coal_coke1:5, Block of Coal Coke
chisel:block_coal_coke1:6, Block of Coal Coke
chisel:block_coal_coke1:7, Block of Coal Coke
chisel:block_coal_coke1:8, Block of Coal Coke
chisel:block_coal_coke1:9, Block of Coal Coke
chisel:block_coal_coke1:10, Block of Coal Coke
chisel:block_coal_coke1:11, Block of Coal Coke
chisel:block_coal_coke1:12, Block of Coal Coke
chisel:block_coal_coke1:13, Block of Coal Coke
chisel:block_coal_coke1:14, Block of Coal Coke
chisel:block_coal_coke1:15, Block of Coal Coke
chisel:block_coal_coke2:0, Block of Coal Coke
chisel:block_coal_coke2:1, Block of Coal Coke
chisel:cobblestonemossy:0, Moss Stone
chisel:cobblestonemossy:1, Moss Stone
chisel:cobblestonemossy:2, Moss Stone
chisel:cobblestonemossy:3, Moss Stone
chisel:cobblestonemossy:4, Moss Stone
chisel:cobblestonemossy:5, Moss Stone
chisel:cobblestonemossy:6, Moss Stone
chisel:cobblestonemossy:7, Moss Stone
chisel:cobblestonemossy:8, Moss Stone
chisel:cobblestonemossy:9, Moss Stone
chisel:cobblestonemossy:10, Moss Stone
chisel:cobblestonemossy:11, Moss Stone
chisel:cobblestonemossy:12, Moss Stone
chisel:cobblestonemossy:13, Moss Stone
chisel:cobblestonemossy:14, Moss Stone
chisel:cobblestonemossy:15, Moss Stone
chisel:cobblestonemossy1:0, Moss Stone
chisel:cobblestonemossy1:1, Moss Stone
chisel:cobblestonemossy1:2, Moss Stone
chisel:cobblestonemossy1:3, Moss Stone
chisel:cobblestonemossy1:4, Moss Stone
chisel:cobblestonemossy1:5, Moss Stone
chisel:cobblestonemossy1:6, Moss Stone
chisel:cobblestonemossy1:7, Moss Stone
chisel:cobblestonemossy1:8, Moss Stone
chisel:cobblestonemossy1:9, Moss Stone
chisel:cobblestonemossy1:10, Moss Stone
chisel:cobblestonemossy1:11, Moss Stone
chisel:cobblestonemossy1:12, Moss Stone
chisel:cobblestonemossy1:13, Moss Stone
chisel:cobblestonemossy1:14, Moss Stone
chisel:cobblestonemossy1:15, Moss Stone
chisel:cobblestonemossy2:0, Moss Stone
chisel:concrete_black:0, Black Concrete
chisel:concrete_black:1, Black Concrete
chisel:concrete_black:2, Black Concrete
chisel:concrete_black:3, Black Concrete
chisel:concrete_black:4, Black Concrete
chisel:concrete_black:5, Black Concrete
chisel:concrete_black:6, Black Concrete
chisel:concrete_black:7, Black Concrete
chisel:concrete_black:8, Black Concrete
chisel:concrete_black:9, Black Concrete
chisel:concrete_black:10, Black Concrete
chisel:concrete_black:11, Black Concrete
chisel:concrete_black:12, Black Concrete
chisel:concrete_black:13, Black Concrete
chisel:concrete_black:14, Black Concrete
chisel:concrete_black:15, Black Concrete
chisel:concrete_black1:0, Black Concrete
chisel:concrete_black1:1, Black Concrete
chisel:concrete_black1:2, Black Concrete
chisel:concrete_black1:3, Black Concrete
chisel:concrete_black1:4, Black Concrete
chisel:concrete_black1:5, Black Concrete
chisel:concrete_black1:6, Black Concrete
chisel:concrete_black1:7, Black Concrete
chisel:concrete_black1:8, Black Concrete
chisel:concrete_black1:9, Black Concrete
chisel:concrete_black1:10, Black Concrete
chisel:concrete_black1:11, Black Concrete
chisel:concrete_black1:12, Black Concrete
chisel:concrete_black1:13, Black Concrete
chisel:concrete_black1:14, Black Concrete
chisel:concrete_black1:15, Black Concrete
chisel:concrete_black2:0, Black Concrete
chisel:concrete_red:0, Red Concrete
chisel:concrete_red:1, Red Concrete
chisel:concrete_red:2, Red Concrete
chisel:concrete_red:3, Red Concrete
chisel:concrete_red:4, Red Concrete
chisel:concrete_red:5, Red Concrete
chisel:concrete_red:6, Red Concrete
chisel:concrete_red:7, Red Concrete
chisel:concrete_red:8, Red Concrete
chisel:concrete_red:9, Red Concrete
chisel:concrete_red:10, Red Concrete
chisel:concrete_red:11, Red Concrete
chisel:concrete_red:12, Red Concrete
chisel:concrete_red:13, Red Concrete
chisel:concrete_red:14, Red Concrete
chisel:concrete_red:15, Red Concrete
chisel:concrete_red1:0, Red Concrete
chisel:concrete_red1:1, Red Concrete
chisel:concrete_red1:2, Red Concrete
chisel:concrete_red1:3, Red Concrete
chisel:concrete_red1:4, Red Concrete
chisel:concrete_red1:5, Red Concrete
chisel:concrete_red1:6, Red Concrete
chisel:concrete_red1:7, Red Concrete
chisel:concrete_red1:8, Red Concrete
chisel:concrete_red1:9, Red Concrete
chisel:concrete_red1:10, Red Concrete
chisel:concrete_red1:11, Red Concrete
chisel:concrete_red1:12, Red Concrete
chisel:concrete_red1:13, Red Concrete
chisel:concrete_red1:14, Red Concrete
chisel:concrete_red1:15, Red Concrete
chisel:concrete_red2:0, Red Concrete
chisel:concrete_green:0, Green Concrete
chisel:concrete_green:1, Green Concrete
chisel:concrete_green:2, Green Concrete
chisel:concrete_green:3, Green Concrete
chisel:concrete_green:4, Green Concrete
chisel:concrete_green:5, Green Concrete
chisel:concrete_green:6, Green Concrete
chisel:concrete_green:7, Green Concrete
chisel:concrete_green:8, Green Concrete
chisel:concrete_green:9, Green Concrete
chisel:concrete_green:10, Green Concrete
chisel:concrete_green:11, Green Concrete
chisel:concrete_green:12, Green Concrete
chisel:concrete_green:13, Green Concrete
chisel:concrete_green:14, Green Concrete
chisel:concrete_green:15, Green Concrete
chisel:concrete_green1:0, Green Concrete
chisel:concrete_green1:1, Green Concrete
chisel:concrete_green1:2, Green Concrete
chisel:concrete_green1:3, Green Concrete
chisel:concrete_green1:4, Green Concrete
chisel:concrete_green1:5, Green Concrete
chisel:concrete_green1:6, Green Concrete
chisel:concrete_green1:7, Green Concrete
chisel:concrete_green1:8, Green Concrete
chisel:concrete_green1:9, Green Concrete
chisel:concrete_green1:10, Green Concrete
chisel:concrete_green1:11, Green Concrete
chisel:concrete_green1:12, Green Concrete
chisel:concrete_green1:13, Green Concrete
chisel:concrete_green1:14, Green Concrete
chisel:concrete_green1:15, Green Concrete
chisel:concrete_green2:0, Green Concrete
chisel:concrete_brown:0, Brown Concrete
chisel:concrete_brown:1, Brown Concrete
chisel:concrete_brown:2, Brown Concrete
chisel:concrete_brown:3, Brown Concrete
chisel:concrete_brown:4, Brown Concrete
chisel:concrete_brown:5, Brown Concrete
chisel:concrete_brown:6, Brown Concrete
chisel:concrete_brown:7, Brown Concrete
chisel:concrete_brown:8, Brown Concrete
chisel:concrete_brown:9, Brown Concrete
chisel:concrete_brown:10, Brown Concrete
chisel:concrete_brown:11, Brown Concrete
chisel:concrete_brown:12, Brown Concrete
chisel:concrete_brown:13, Brown Concrete
chisel:concrete_brown:14, Brown Concrete
chisel:concrete_brown:15, Brown Concrete
chisel:concrete_brown1:0, Brown Concrete
chisel:concrete_brown1:1, Brown Concrete
chisel:concrete_brown1:2, Brown Concrete
chisel:concrete_brown1:3, Brown Concrete
chisel:concrete_brown1:4, Brown Concrete
chisel:concrete_brown1:5, Brown Concrete
chisel:concrete_brown1:6, Brown Concrete
chisel:concrete_brown1:7, Brown Concrete
chisel:concrete_brown1:8, Brown Concrete
chisel:concrete_brown1:9, Brown Concrete
chisel:concrete_brown1:10, Brown Concrete
chisel:concrete_brown1:11, Brown Concrete
chisel:concrete_brown1:12, Brown Concrete
chisel:concrete_brown1:13, Brown Concrete
chisel:concrete_brown1:14, Brown Concrete
chisel:concrete_brown1:15, Brown Concrete
chisel:concrete_brown2:0, Brown Concrete
chisel:concrete_blue:0, Blue Concrete
chisel:concrete_blue:1, Blue Concrete
chisel:concrete_blue:2, Blue Concrete
chisel:concrete_blue:3, Blue Concrete
chisel:concrete_blue:4, Blue Concrete
chisel:concrete_blue:5, Blue Concrete
chisel:concrete_blue:6, Blue Concrete
chisel:concrete_blue:7, Blue Concrete
chisel:concrete_blue:8, Blue Concrete
chisel:concrete_blue:9, Blue Concrete
chisel:concrete_blue:10, Blue Concrete
chisel:concrete_blue:11, Blue Concrete
chisel:concrete_blue:12, Blue Concrete
chisel:concrete_blue:13, Blue Concrete
chisel:concrete_blue:14, Blue Concrete
chisel:concrete_blue:15, Blue Concrete
chisel:concrete_blue1:0, Blue Concrete
chisel:concrete_blue1:1, Blue Concrete
chisel:concrete_blue1:2, Blue Concrete
chisel:concrete_blue1:3, Blue Concrete
chisel:concrete_blue1:4, Blue Concrete
chisel:concrete_blue1:5, Blue Concrete
chisel:concrete_blue1:6, Blue Concrete
chisel:concrete_blue1:7, Blue Concrete
chisel:concrete_blue1:8, Blue Concrete
chisel:concrete_blue1:9, Blue Concrete
chisel:concrete_blue1:10, Blue Concrete
chisel:concrete_blue1:11, Blue Concrete
chisel:concrete_blue1:12, Blue Concrete
chisel:concrete_blue1:13, Blue Concrete
chisel:concrete_blue1:14, Blue Concrete
chisel:concrete_blue1:15, Blue Concrete
chisel:concrete_blue2:0, Blue Concrete
chisel:concrete_purple:0, Purple Concrete
chisel:concrete_purple:1, Purple Concrete
chisel:concrete_purple:2, Purple Concrete
chisel:concrete_purple:3, Purple Concrete
chisel:concrete_purple:4, Purple Concrete
chisel:concrete_purple:5, Purple Concrete
chisel:concrete_purple:6, Purple Concrete
chisel:concrete_purple:7, Purple Concrete
chisel:concrete_purple:8, Purple Concrete
chisel:concrete_purple:9, Purple Concrete
chisel:concrete_purple:10, Purple Concrete
chisel:concrete_purple:11, Purple Concrete
chisel:concrete_purple:12, Purple Concrete
chisel:concrete_purple:13, Purple Concrete
chisel:concrete_purple:14, Purple Concrete
chisel:concrete_purple:15, Purple Concrete
chisel:concrete_purple1:0, Purple Concrete
chisel:concrete_purple1:1, Purple Concrete
chisel:concrete_purple1:2, Purple Concrete
chisel:concrete_purple1:3, Purple Concrete
chisel:concrete_purple1:4, Purple Concrete
chisel:concrete_purple1:5, Purple Concrete
chisel:concrete_purple1:6, Purple Concrete
chisel:concrete_purple1:7, Purple Concrete
chisel:concrete_purple1:8, Purple Concrete
chisel:concrete_purple1:9, Purple Concrete
chisel:concrete_purple1:10, Purple Concrete
chisel:concrete_purple1:11, Purple Concrete
chisel:concrete_purple1:12, Purple Concrete
chisel:concrete_purple1:13, Purple Concrete
chisel:concrete_purple1:14, Purple Concrete
chisel:concrete_purple1:15, Purple Concrete
chisel:concrete_purple2:0, Purple Concrete
chisel:concrete_cyan:0, Cyan Concrete
chisel:concrete_cyan:1, Cyan Concrete
chisel:concrete_cyan:2, Cyan Concrete
chisel:concrete_cyan:3, Cyan Concrete
chisel:concrete_cyan:4, Cyan Concrete
chisel:concrete_cyan:5, Cyan Concrete
chisel:concrete_cyan:6, Cyan Concrete
chisel:concrete_cyan:7, Cyan Concrete
chisel:concrete_cyan:8, Cyan Concrete
chisel:concrete_cyan:9, Cyan Concrete
chisel:concrete_cyan:10, Cyan Concrete
chisel:concrete_cyan:11, Cyan Concrete
chisel:concrete_cyan:12, Cyan Concrete
chisel:concrete_cyan:13, Cyan Concrete
chisel:concrete_cyan:14, Cyan Concrete
chisel:concrete_cyan:15, Cyan Concrete
chisel:concrete_cyan1:0, Cyan Concrete
chisel:concrete_cyan1:1, Cyan Concrete
chisel:concrete_cyan1:2, Cyan Concrete
chisel:concrete_cyan1:3, Cyan Concrete
chisel:concrete_cyan1:4, Cyan Concrete
chisel:concrete_cyan1:5, Cyan Concrete
chisel:concrete_cyan1:6, Cyan Concrete
chisel:concrete_cyan1:7, Cyan Concrete
chisel:concrete_cyan1:8, Cyan Concrete
chisel:concrete_cyan1:9, Cyan Concrete
chisel:concrete_cyan1:10, Cyan Concrete
chisel:concrete_cyan1:11, Cyan Concrete
chisel:concrete_cyan1:12, Cyan Concrete
chisel:concrete_cyan1:13, Cyan Concrete
chisel:concrete_cyan1:14, Cyan Concrete
chisel:concrete_cyan1:15, Cyan Concrete
chisel:concrete_cyan2:0, Cyan Concrete
chisel:concrete_lightgray:0, Light Gray Concrete
chisel:concrete_lightgray:1, Light Gray Concrete
chisel:concrete_lightgray:2, Light Gray Concrete
chisel:concrete_lightgray:3, Light Gray Concrete
chisel:concrete_lightgray:4, Light Gray Concrete
chisel:concrete_lightgray:5, Light Gray Concrete
chisel:concrete_lightgray:6, Light Gray Concrete
chisel:concrete_lightgray:7, Light Gray Concrete
chisel:concrete_lightgray:8, Light Gray Concrete
chisel:concrete_lightgray:9, Light Gray Concrete
chisel:concrete_lightgray:10, Light Gray Concrete
chisel:concrete_lightgray:11, Light Gray Concrete
chisel:concrete_lightgray:12, Light Gray Concrete
chisel:concrete_lightgray:13, Light Gray Concrete
chisel:concrete_lightgray:14, Light Gray Concrete
chisel:concrete_lightgray:15, Light Gray Concrete
chisel:concrete_lightgray1:0, Light Gray Concrete
chisel:concrete_lightgray1:1, Light Gray Concrete
chisel:concrete_lightgray1:2, Light Gray Concrete
chisel:concrete_lightgray1:3, Light Gray Concrete
chisel:concrete_lightgray1:4, Light Gray Concrete
chisel:concrete_lightgray1:5, Light Gray Concrete
chisel:concrete_lightgray1:6, Light Gray Concrete
chisel:concrete_lightgray1:7, Light Gray Concrete
chisel:concrete_lightgray1:8, Light Gray Concrete
chisel:concrete_lightgray1:9, Light Gray Concrete
chisel:concrete_lightgray1:10, Light Gray Concrete
chisel:concrete_lightgray1:11, Light Gray Concrete
chisel:concrete_lightgray1:12, Light Gray Concrete
chisel:concrete_lightgray1:13, Light Gray Concrete
chisel:concrete_lightgray1:14, Light Gray Concrete
chisel:concrete_lightgray1:15, Light Gray Concrete
chisel:concrete_lightgray2:0, Light Gray Concrete
chisel:concrete_gray:0, Gray Concrete
chisel:concrete_gray:1, Gray Concrete
chisel:concrete_gray:2, Gray Concrete
chisel:concrete_gray:3, Gray Concrete
chisel:concrete_gray:4, Gray Concrete
chisel:concrete_gray:5, Gray Concrete
chisel:concrete_gray:6, Gray Concrete
chisel:concrete_gray:7, Gray Concrete
chisel:concrete_gray:8, Gray Concrete
chisel:concrete_gray:9, Gray Concrete
chisel:concrete_gray:10, Gray Concrete
chisel:concrete_gray:11, Gray Concrete
chisel:concrete_gray:12, Gray Concrete
chisel:concrete_gray:13, Gray Concrete
chisel:concrete_gray:14, Gray Concrete
chisel:concrete_gray:15, Gray Concrete
chisel:concrete_gray1:0, Gray Concrete
chisel:concrete_gray1:1, Gray Concrete
chisel:concrete_gray1:2, Gray Concrete
chisel:concrete_gray1:3, Gray Concrete
chisel:concrete_gray1:4, Gray Concrete
chisel:concrete_gray1:5, Gray Concrete
chisel:concrete_gray1:6, Gray Concrete
chisel:concrete_gray1:7, Gray Concrete
chisel:concrete_gray1:8, Gray Concrete
chisel:concrete_gray1:9, Gray Concrete
chisel:concrete_gray1:10, Gray Concrete
chisel:concrete_gray1:11, Gray Concrete
chisel:concrete_gray1:12, Gray Concrete
chisel:concrete_gray1:13, Gray Concrete
chisel:concrete_gray1:14, Gray Concrete
chisel:concrete_gray1:15, Gray Concrete
chisel:concrete_gray2:0, Gray Concrete
chisel:concrete_pink:0, Pink Concrete
chisel:concrete_pink:1, Pink Concrete
chisel:concrete_pink:2, Pink Concrete
chisel:concrete_pink:3, Pink Concrete
chisel:concrete_pink:4, Pink Concrete
chisel:concrete_pink:5, Pink Concrete
chisel:concrete_pink:6, Pink Concrete
chisel:concrete_pink:7, Pink Concrete
chisel:concrete_pink:8, Pink Concrete
chisel:concrete_pink:9, Pink Concrete
chisel:concrete_pink:10, Pink Concrete
chisel:concrete_pink:11, Pink Concrete
chisel:concrete_pink:12, Pink Concrete
chisel:concrete_pink:13, Pink Concrete
chisel:concrete_pink:14, Pink Concrete
chisel:concrete_pink:15, Pink Concrete
chisel:concrete_pink1:0, Pink Concrete
chisel:concrete_pink1:1, Pink Concrete
chisel:concrete_pink1:2, Pink Concrete
chisel:concrete_pink1:3, Pink Concrete
chisel:concrete_pink1:4, Pink Concrete
chisel:concrete_pink1:5, Pink Concrete
chisel:concrete_pink1:6, Pink Concrete
chisel:concrete_pink1:7, Pink Concrete
chisel:concrete_pink1:8, Pink Concrete
chisel:concrete_pink1:9, Pink Concrete
chisel:concrete_pink1:10, Pink Concrete
chisel:concrete_pink1:11, Pink Concrete
chisel:concrete_pink1:12, Pink Concrete
chisel:concrete_pink1:13, Pink Concrete
chisel:concrete_pink1:14, Pink Concrete
chisel:concrete_pink1:15, Pink Concrete
chisel:concrete_pink2:0, Pink Concrete
chisel:concrete_lime:0, Lime Concrete
chisel:concrete_lime:1, Lime Concrete
chisel:concrete_lime:2, Lime Concrete
chisel:concrete_lime:3, Lime Concrete
chisel:concrete_lime:4, Lime Concrete
chisel:concrete_lime:5, Lime Concrete
chisel:concrete_lime:6, Lime Concrete
chisel:concrete_lime:7, Lime Concrete
chisel:concrete_lime:8, Lime Concrete
chisel:concrete_lime:9, Lime Concrete
chisel:concrete_lime:10, Lime Concrete
chisel:concrete_lime:11, Lime Concrete
chisel:concrete_lime:12, Lime Concrete
chisel:concrete_lime:13, Lime Concrete
chisel:concrete_lime:14, Lime Concrete
chisel:concrete_lime:15, Lime Concrete
